AVY ,Avery Dennison Corp. ,Industrials,
AVP ,Avon Products ,Consumer Staples,
BHI ,Baker Hughes ,Energy,
BLL ,Ball Corp. ,Materials,
BAC ,Bank of America Corp. ,Financials,
BK ,Bank of New York Mellon Corp. (New) ,Financials,
BCR ,Bard (C.R.) Inc. ,Health Care,
BAX ,Baxter International Inc. ,Health Care,
BBT ,BB&T Corporation ,Financials,
BDX ,Becton Dickinson ,Health Care,
BBBY ,Bed Bath & Beyond ,Consumer Discretionary,
BMS ,Bemis Company ,Materials,
BBY ,Best Buy Co. Inc. ,Consumer Discretionary,
BIG ,Big Lots Inc. ,Consumer Discretionary,
BIIB ,BIOGEN IDEC Inc. ,Health Care,
BJS ,BJ Services ,Energy,
BDK ,Black & Decker Corp. ,Consumer Discretionary,
HRB ,Block H&R ,Consumer Discretionary,
BMC ,BMC Software ,Information Technology,
BA ,Boeing Company ,Industrials,
BXP ,Boston Properties ,Financials,
BSX ,Boston Scientific ,Health Care,
BMY ,Bristol-Myers Squibb ,Health Care,
BRCM ,Broadcom Corporation ,Information Technology,
BF.B ,Brown-Forman Corp. ,Consumer Staples,
BNI ,Burlington Northern Santa Fe C ,Industrials,
CHRW ,C.H. Robinson Worldwide ,Industrials,
CA ,CA Inc. ,Information Technology,
COG ,Cabot Oil & Gas ,Energy,
CAM ,Cameron International Corp. ,Energy,
CPB ,Campbell Soup ,Consumer Staples,
COF ,Capital One Financial ,Financials,
CAH ,Cardinal Health Inc. ,Health Care,
CCL ,Carnival Corp. ,Consumer Discretionary,
CAT ,Caterpillar Inc. ,Industrials,
CBG ,CB Richard Ellis Group ,Financials,
CBS ,CBS Corp. ,Consumer Discretionary,
CELG ,Celgene Corp. ,Health Care,
CNP ,CenterPoint Energy ,Utilities,
CTX ,Centex Corp. ,Consumer Discretionary,
CTL ,Century Telephone ,Telecommunications Services,
CF ,CF Industries Holdings Inc ,Materials,
SCHW ,Charles Schwab ,Financials,
CHK ,Chesapeake Energy ,Energy,
CVX ,Chevron Corp. ,Energy,
CB ,Chubb Corp. ,Financials,
CIEN ,Ciena Corp. ,Information Technology,
CI ,CIGNA Corp. ,Health Care,
CINF ,Cincinnati Financial ,Financials,
CTAS ,Cintas Corporation ,Industrials,
CSCO ,Cisco Systems ,Information Technology,
CIT ,CIT Group ,Financials,
C ,Citigroup Inc. ,Financials,
CTXS ,Citrix Systems ,Information Technology,
CLX ,Clorox Co. ,Consumer Staples,
CME ,CME Group Inc. ,Financials,
CMS ,CMS Energy ,Utilities,
COH ,Coach Inc. ,Consumer Discretionary,
KO ,Coca Cola Co. ,Consumer Staples,
CCE ,Coca-Cola Enterprises ,Consumer Staples,
CTSH ,Cognizant Technology Solutions ,Information Technology,
CL ,Colgate-Palmolive ,Consumer Staples,
CMCSA ,Comcast Corp. ,Consumer Discretionary,
CMA ,Comerica Inc. ,Financials,
CSC ,Computer Sciences Corp. ,Information Technology,
CPWR ,Compuware Corp. ,Information Technology,
CAG ,ConAgra Foods Inc. ,Consumer Staples,
COP ,ConocoPhillips ,Energy,
CNX ,CONSOL Energy Inc. ,Energy,
ED ,Consolidated Edison ,Utilities,
STZ ,Constellation Brands ,Consumer Staples,
CEG ,Constellation Energy Group ,Utilities,
CVG ,Convergys Corp. ,Information Technology,
CBE ,Cooper Industries Ltd. ,Industrials,
GLW ,Corning Inc. ,Information Technology,
COST ,Costco Co. ,Consumer Staples,
CVH ,Coventry Health Care Inc. ,Health Care,
COV ,Covidien Ltd. ,Health Care,
CSX ,CSX Corp. ,Industrials,
CMI ,Cummins Inc. ,Industrials,
CVS ,CVS Caremark Corp. ,Consumer Staples,
DHI ,D.R. Horton ,Consumer Discretionary,
DHR ,Danaher Corp. ,Industrials,
DRI ,Darden Restaurants ,Consumer Discretionary,
DVA ,DaVita Inc. ,Health Care,
DF ,Dean Foods ,Consumer Staples,
DE ,Deere & Co. ,Industrials,
DELL ,Dell Inc. ,Information Technology,
DDR ,Developers Diversified Rlty ,Financials,
DVN ,Devon Energy Corp. ,Energy,
DTV ,DIRECTV Group Inc. ,Consumer Discretionary,
DFS ,Discover Financial Services ,Financials,
D ,Dominion Resources ,Utilities,
RRD ,Donnelley (R.R.) & Sons ,Industrials,
DOV ,Dover Corp. ,Industrials,
DOW ,Dow Chemical ,Materials,
DPS ,Dr Pepper Snapple Group ,Financials,
DTE ,DTE Energy Co. ,Utilities,
DD ,Du Pont (E.I.) ,Materials,
DUK ,Duke Energy ,Utilities,
DNB ,Dun & Bradstreet ,Industrials,
DYN ,Dynegy Inc. ,Utilities,
ETFC ,E-Trade ,Financials,
EMN ,Eastman Chemical ,Materials,
EK ,Eastman Kodak ,Consumer Discretionary,
ETN ,Eaton Corp. ,Industrials,
EBAY ,eBay Inc. ,Information Technology,
ECL ,Ecolab Inc. ,Materials,
EIX ,Edison Int'l ,Utilities,
EP ,El Paso Corp. ,Energy,
ERTS ,Electronic Arts ,Information Technology,
EQ ,Embarq Corporation ,Telecommunications Services,
EMC ,EMC Corp. ,Information Technology,
EMR ,Emerson Electric ,Industrials,
ESV ,ENSCO Int'l ,Energy,
ETR ,Entergy Corp. ,Utilities,
EOG ,EOG Resources ,Energy,
EFX ,Equifax Inc. ,Industrials,
EQR ,Equity Residential ,Financials,
EL ,Estee Lauder Cos. ,Consumer Staples,
EXC ,Exelon Corp. ,Utilities,
EXPE ,Expedia Inc. ,Consumer Discretionary,
EXPD ,Expeditors Int'l ,Industrials,
ESRX ,Express Scripts ,Health Care,
XOM ,Exxon Mobil Corp. ,Energy,
FDO ,Family Dollar Stores ,Consumer Discretionary,
FAST ,Fastenal ,Industrials,
FII ,Federated Investors Inc. ,Financials,
FDX ,FedEx Corporation ,Industrials,
FIS ,Fidelity National Information Services ,Information Technology,
FITB ,Fifth Third Bancorp ,Financials,
FHN ,First Horizon National ,Financials,
FE ,FirstEnergy Corp. ,Utilities,
FISV ,FIserv Inc. ,Information Technology,
FLS ,Flowserve Corporation ,Industrials,
FLR ,Fluor Corp. (New) ,Industrials,
F ,Ford Motor ,Consumer Discretionary,
FRX ,Forest Laboratories ,Health Care,
FO ,Fortune Brands Inc. ,Consumer Discretionary,
FPL ,FPL Group ,Utilities,
BEN ,Franklin Resources ,Financials,
FCX ,Freeport-McMoran Cp & Gld ,Materials,
FTR ,Frontier Communications ,Telecommunications Services,
GME ,GameStop Corp. ,Consumer Discretionary,
GCI ,Gannett Co. ,Consumer Discretionary,
GPS ,Gap (The) ,Consumer Discretionary,
GD ,General Dynamics ,Industrials,
GE ,General Electric ,Industrials,
GIS ,General Mills ,Consumer Staples,
GM ,General Motors ,Consumer Discretionary,
GGP ,Genl Growth Properties ,Financials,
GPC ,Genuine Parts ,Consumer Discretionary,
GNW ,Genworth Financial Inc. ,Financials,
GENZ ,Genzyme Corp. ,Health Care,
GILD ,Gilead Sciences ,Health Care,
GS ,Goldman Sachs Group ,Financials,
GR ,Goodrich Corporation ,Industrials,
GT ,Goodyear Tire & Rubber ,Consumer Discretionary,
GOOG ,Google Inc. ,Information Technology,
GWW ,Grainger (W.W.) Inc. ,Industrials,
HAL ,Halliburton Co. ,Energy,
HOG ,Harley-Davidson ,Consumer Discretionary,
HAR ,Harman Int'l Industries ,Consumer Discretionary,
HRS ,Harris Corporation ,Information Technology,
HIG ,Hartford Financial Svc.Gp. ,Financials,
HAS ,Hasbro Inc. ,Consumer Discretionary,
HCP ,HCP Inc. ,Financials,
HNZ ,Heinz (H.J.) ,Consumer Staples,
HPC ,Hercules Inc. ,Materials,
HES ,Hess Corporation ,Energy,
HPQ ,Hewlett-Packard ,Information Technology,
HD ,Home Depot ,Consumer Discretionary,
HON ,Honeywell Int'l Inc. ,Industrials,
HSP ,Hospira Inc. ,Health Care,
HST ,Host Hotels & Resorts ,Financials,
HCBK ,Hudson City Bancorp ,Financials,
HUM ,Humana Inc. ,Health Care,
HBAN ,Huntington Bancshares ,Financials,
ITW ,Illinois Tool Works ,Industrials,
RX ,IMS Health Inc. ,Health Care,
IR ,Ingersoll-Rand Co. Ltd. ,Industrials,
TEG ,Integrys Energy Group Inc. ,Utilities,
INTC ,Intel Corp. ,Information Technology,
ICE ,IntercontinentalExchange Inc. ,Financials,
IBM ,International Bus. Machines ,Information Technology,
IFF ,International Flav/Frag ,Materials,
IGT ,International Game Technology ,Consumer Discretionary,
IP ,International Paper ,Materials,
IPG ,Interpublic Group ,Consumer Discretionary,
INTU ,Intuit Inc. ,Information Technology,
ISRG ,Intuitive Surgical Inc. ,Health Care,
IVZ ,Invesco Ltd. ,Financials,
ITT ,ITT Corporation ,Industrials,
JBL ,Jabil Circuit ,Information Technology,
JEC ,Jacobs Engineering Group ,Industrials,
JNS ,Janus Capital Group ,Financials,
JDSU ,JDS Uniphase Corp. ,Information Technology,
JNJ ,Johnson & Johnson ,Health Care,
JCI ,Johnson Controls ,Consumer Discretionary,
JNY ,Jones Apparel Group ,Consumer Discretionary,
JPM ,JPMorgan Chase & Co. ,Financials,
JNPR ,Juniper Networks ,Information Technology,
KBH ,KB Home ,Consumer Discretionary,
K ,Kellogg Co. ,Consumer Staples,
KEY ,KeyCorp ,Financials,
KMB ,Kimberly-Clark ,Consumer Staples,
KIM ,Kimco Realty ,Financials,
KG ,King Pharmaceuticals ,Health Care,
KLAC ,KLA-Tencor Corp. ,Information Technology,
KSS ,Kohl's Corp. ,Consumer Discretionary,
KFT ,Kraft Foods Inc-A ,Consumer Staples,
KR ,Kroger Co. ,Consumer Staples,
LLL ,L-3 Communications Holdings ,Industrials,
LH ,Laboratory Corp. of America Holding ,Health Care,
LM ,Legg Mason ,Financials,
LEG ,Leggett & Platt ,Consumer Discretionary,
LEN ,Lennar Corp. ,Consumer Discretionary,
LUK ,Leucadia National Corp. ,Financials,
LXK ,Lexmark Int'l Inc ,Information Technology,
LLY ,Lilly (Eli) & Co. ,Health Care,
LTD ,Limited Brands Inc. ,Consumer Discretionary,
LNC ,Lincoln National ,Financials,
LLTC ,Linear Technology Corp. ,Information Technology,
LMT ,Lockheed Martin Corp. ,Industrials,
L ,Loews Corp. ,Financials,
LO ,Lorillard Inc. ,Consumer Staples,
LOW ,Lowe's Cos. ,Consumer Discretionary,
LSI ,LSI Corporation ,Information Technology,
MTB ,M&T Bank Corp. ,Financials,
M ,Macy's Inc. ,Consumer Discretionary,
MTW ,Manitowoc Co. ,Industrials,
MRO ,Marathon Oil Corp. ,Energy,
MAR ,Marriott Int'l. ,Consumer Discretionary,
MMC ,Marsh & McLennan ,Financials,
MI ,Marshall & Ilsley Corp. ,Financials,
MAS ,Masco Corp. ,Industrials,
MEE ,Massey Energy Company ,Energy,
MA ,Mastercard Inc. ,Information Technology,
MAT ,Mattel Inc. ,Consumer Discretionary,
MBI ,MBIA Inc. ,Financials,
MFE ,McAfee ,Information Technology,
MKC ,McCormick & Co. ,Consumer Staples,
MCD ,McDonald's Corp. ,Consumer Discretionary,
MHP ,McGraw-Hill ,Consumer Discretionary,
MCK ,McKesson Corp. (New) ,Health Care,
MWV ,MeadWestvaco Corporation ,Materials,
MHS ,Medco Health Solutions Inc. ,Health Care,
MDT ,Medtronic Inc. ,Health Care,
WFR ,MEMC Electronic Materials ,Information Technology,
MRK ,Merck & Co. ,Health Care,
MDP ,Meredith Corp. ,Consumer Discretionary,
MER ,Merrill Lynch ,Financials,
MET ,MetLife Inc. ,Financials,
MCHP ,Microchip Technology ,Information Technology,
MU ,Micron Technology ,Information Technology,
MSFT ,Microsoft Corp. ,Information Technology,
MIL ,Millipore Corp. ,Health Care,
MOLX ,Molex Inc. ,Information Technology,
TAP ,Molson Coors Brewing Company ,Consumer Staples,
MON ,Monsanto Co. ,Materials,
MWW ,Monster Worldwide ,Industrials,
MCO ,Moody's Corp ,Financials,
MS ,Morgan Stanley ,Financials,
MOT ,Motorola Inc. ,Information Technology,
MUR ,Murphy Oil ,Energy,
MYL ,Mylan Inc. ,Health Care,
NBR ,Nabors Industries Ltd. ,Energy,
NDAQ ,NASDAQ OMX Group ,Financials,
NCC ,National City Corp. ,Financials,
NOV ,National Oilwell Varco Inc. ,Energy,
NSM ,National Semiconductor ,Information Technology,
NTAP ,NetApp ,Information Technology,
NYT ,New York Times Cl. A ,Consumer Discretionary,
NWL ,Newell Rubbermaid Co. ,Consumer Discretionary,
NEM ,Newmont Mining Corp. (Hldg. Co.) ,Materials,
NWSA ,News Corporation ,Consumer Discretionary,
GAS ,NICOR Inc. ,Utilities,
NKE ,NIKE Inc. ,Consumer Discretionary,
NI ,NiSource Inc. ,Utilities,
NE ,Noble Corporation ,Energy,
NBL ,Noble Energy Inc ,Energy,
JWN ,Nordstrom ,Consumer Discretionary,
NSC ,Norfolk Southern Corp. ,Industrials,
NTRS ,Northern Trust Corp. ,Financials,
NOC ,Northrop Grumman Corp. ,Industrials,
NOVL ,Novell Inc. ,Information Technology,
NVLS ,Novellus Systems ,Information Technology,
NUE ,Nucor Corp. ,Materials,
NVDA ,Nvidia Corporation ,Information Technology,
NYX ,NYSE Euronext ,Financials,
OXY ,Occidental Petroleum ,Energy,
ODP ,Office Depot ,Consumer Discretionary,
OMC ,Omnicom Group ,Consumer Discretionary,
ORCL ,Oracle Corp. ,Information Technology,
PCAR ,PACCAR Inc. ,Industrials,
PTV ,Pactiv Corp. ,Materials,
PLL ,Pall Corp. ,Industrials,
PH ,Parker-Hannifin ,Industrials,
PDCO ,Patterson Cos. Inc. ,Health Care,
PAYX ,Paychex Inc. ,Information Technology,
BTU ,Peabody Energy ,Energy,
JCP ,Penney (J.C.) ,Consumer Discretionary,
POM ,Pepco Holdings Inc. ,Utilities,
PBG ,Pepsi Bottling Group ,Consumer Staples,
PEP ,PepsiCo Inc. ,Consumer Staples,
PKI ,PerkinElmer ,Health Care,
PFE ,Pfizer Inc. ,Health Care,
PCG ,PG&E Corp. ,Utilities,
PM ,Philip Morris International ,Consumer Staples,
PNW ,Pinnacle West Capital ,Utilities,
PXD ,Pioneer Natural Resources ,Energy,
PBI ,Pitney-Bowes ,Industrials,
PCL ,Plum Creek Timber Co. ,Financials,
PNC ,PNC Financial Services ,Financials,
RL ,Polo Ralph Lauren Corp. ,Consumer Discretionary,
PPG ,PPG Industries ,Materials,
PPL ,PPL Corp. ,Utilities,
PX ,Praxair Inc. ,Materials,
PCP ,Precision Castparts ,Industrials,
PFG ,Principal Financial Group ,Financials,
PG ,Procter & Gamble ,Consumer Staples,
PGN ,Progress Energy Inc. ,Utilities,
PGR ,Progressive Corp. ,Financials,
PLD ,ProLogis ,Financials,
PRU ,Prudential Financial ,Financials,
PEG ,Public Serv. Enterprise Inc. ,Utilities,
PSA ,Public Storage ,Financials,
PHM ,Pulte Homes Inc. ,Consumer Discretionary,
QLGC ,QLogic Corp. ,Information Technology,
QCOM ,QUALCOMM Inc. ,Information Technology,
DGX ,Quest Diagnostics ,Health Care,
STR ,Questar Corp. ,Utilities,
Q ,Qwest Communications Int ,Telecommunications Services,
RSH ,RadioShack Corp ,Consumer Discretionary,
RRC ,Range Resources Corp. ,Energy,
RTN ,Raytheon Co. (New) ,Industrials,
RF ,Regions Financial Corp. ,Financials,
RAI ,Reynolds American Inc. ,Consumer Staples,
RHI ,Robert Half International ,Industrials,
ROK ,Rockwell Automation Inc. ,Industrials,
COL ,Rockwell Collins ,Industrials,
ROH ,Rohm & Haas ,Materials,
RDC ,Rowan Cos. ,Energy,
R ,Ryder System ,Industrials,
SWY ,Safeway Inc. ,Consumer Staples,
CRM ,Salesforce.com ,Information Technology,
SNDK ,SanDisk Corporation ,Information Technology,
SLE ,Sara Lee Corp. ,Consumer Staples,
SGP ,Schering-Plough ,Health Care,
SLB ,Schlumberger Ltd. ,Energy,
SNI ,Scripps Networks Interactive Inc. ,Consumer Discretionary,
SEE ,Sealed Air Corp.(New) ,Materials,
SHLD ,Sears Holdings Corporation ,Consumer Discretionary,
SRE ,Sempra Energy ,Utilities,
SHW ,Sherwin-Williams ,Consumer Discretionary,
SIAL ,Sigma-Aldrich ,Materials,
SPG ,Simon Property Group Inc ,Financials,
SLM ,SLM Corporation ,Financials,
SII ,Smith International ,Energy,
SJM ,Smucker (J.M.) (New) ,Consumer Staples,
SNA ,Snap-On Inc. ,Consumer Discretionary,
SO ,Southern Co. ,Utilities,
LUV ,Southwest Airlines ,Industrials,
SWN ,Southwestern Energy ,Energy,
SOV ,Sovereign Bancorp ,Financials,
SE ,Spectra Energy Corp. ,Energy,
S ,Sprint Nextel Corp. ,Telecommunications Services,
STJ ,St Jude Medical ,Health Care,
SWK ,Stanley Works ,Consumer Discretionary,
SPLS ,Staples Inc. ,Consumer Discretionary,
SBUX ,Starbucks Corp. ,Consumer Discretionary,
HOT ,Starwood Hotels & Resorts ,Consumer Discretionary,
STT ,State Street Corp. ,Financials,
SYK ,Stryker Corp. ,Health Care,
JAVA ,Sun Microsystems ,Information Technology,
SUN ,Sunoco Inc. ,Energy,
STI ,SunTrust Banks ,Financials,
SVU ,Supervalu Inc. ,Consumer Staples,
SYMC ,Symantec Corp. ,Information Technology,
SYY ,Sysco Corp. ,Consumer Staples,
TROW ,T. Rowe Price Group ,Financials,
TGT ,Target Corp. ,Consumer Discretionary,
TE ,TECO Energy ,Utilities,
TLAB ,Tellabs Inc. ,Information Technology,
THC ,Tenet Healthcare Corp. ,Health Care,
TDC ,Teradata Corp. ,Information Technology,
TER ,Teradyne Inc. ,Information Technology,
TSO ,Tesoro Petroleum Co. ,Energy,
TXN ,Texas Instruments ,Information Technology,
TXT ,Textron Inc. ,Industrials,
HSY ,The Hershey Company ,Consumer Staples,
TRV ,The Travelers Companies Inc. ,Financials,
TMO ,Thermo Fisher Scientific ,Health Care,
TIF ,Tiffany & Co. ,Consumer Discretionary,
TWX ,Time Warner Inc. ,Consumer Discretionary,
TIE ,Titanium Metals Corp ,Materials,
TJX ,TJX Companies Inc. ,Consumer Discretionary,
TMK ,Torchmark Corp. ,Financials,
TSS ,Total System Services ,Information Technology,
RIG ,Transocean Inc. (New) ,Energy,
TEL ,Tyco Electronics Ltd. ,Information Technology,
TYC ,Tyco International (New) ,Industrials,
TSN ,Tyson Foods ,Consumer Staples,
USB ,U.S. Bancorp ,Financials,
UNP ,Union Pacific ,Industrials,
UIS ,Unisys Corp. ,Information Technology,
UNH ,United Health Group Inc. ,Health Care,
UPS ,United Parcel Service ,Industrials,
X ,United States Steel Corp. ,Materials,
UTX ,United Technologies ,Industrials,
UNM ,Unum Group ,Financials,
IRM ,Iron Mountain Inc. ,Business Support Services,
VFC ,V.F. Corp. ,Consumer Discretionary,
VLO ,Valero Energy ,Energy,
VAR ,Varian Medical Systems ,Health Care,
VRSN ,Verisign Inc. ,Information Technology,
VZ ,Verizon Communications ,Telecommunications Services,
VIA.B ,Viacom Inc. (New) ,Consumer Discretionary,
VNO ,Vornado Realty Trust ,Financials,
VMC ,Vulcan Materials ,Materials,
WB ,Wachovia Corp. (New) ,Financials,
WMT ,Wal-Mart Stores ,Consumer Staples,
WAG ,Walgreen Co. ,Consumer Staples,
DIS ,Walt Disney Co. ,Consumer Discretionary,
WPO ,Washington Post ,Consumer Discretionary,
WMI ,Waste Management Inc. ,Industrials,
WAT ,Waters Corporation ,Health Care,
WPI ,Watson Pharmaceuticals ,Health Care,
WFT ,Weatherford International Ltd. ,Energy,
WLP ,WellPoint Inc. ,Health Care,
WFC ,Wells Fargo ,Financials,
WU ,Western Union Co ,Information Technology,
WY ,Weyerhaeuser Corp. ,Materials,
WHR ,Whirlpool Corp. ,Consumer Discretionary,
WFMI ,Whole Foods Market ,Consumer Staples,
WMB ,Williams Cos. ,Energy,
WIN ,Windstream Corporation ,Utilities,
WEC ,Wisconsin Energy Corporation ,Consumer Staples,
WYE ,Wyeth ,Health Care,
WYN ,Wyndham Worldwide ,Consumer Discretionary,
XEL ,Xcel Energy Inc ,Utilities,
XRX ,Xerox Corp. ,Information Technology,
XLNX ,Xilinx Inc ,Information Technology,
XL ,XL Capital ,Financials,
XTO ,XTO Energy Inc. ,Energy,
YHOO ,Yahoo Inc. ,Information Technology,
YUM ,Yum! Brands Inc ,Consumer Discretionary,
ZMH ,Zimmer Holdings ,Health Care,
ZION ,Zions Bancorp ,Financials,
